Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section 
Which glacier feeds the River Pabbar?,Chandra Glacier,Bhadal Glacier,Chandranahan Glacier,Dudhon Glacier,C,2019
The 'Viceregal Lodge' in Shimla was designed by:,Henry Irwin,Jacob,Lord Curzon,Edwin Lutyens,A,2019
Which lake is known as the 'Lake of the Moon'?,Suraj Tal,Chandra Tal,Rewalsar,Dashir,B,2019
Who was the leader of the 'Dhami Satyagraha' (1939)?,Bhagmal Sautha,Padam Dev,Dr. Y.S. Parmar,Shivanand Ramaul,A,2019
The fair of 'Lavi' is held at which place?,Rampur,Bilaspur,Solan,Mandi,A,2019
Sipi' fair is celebrated in which month?,April,May,June,July,B,2019
In which district is 'Choordhar' peak located?,Solan,Sirmaur,Shimla,Mandi,B,2019
Who founded the state of 'Sirmour'?,Subans Prakash,Raja Rasaloo,Karma Prakash,Mahi Prakash,B,2019
What is the approximate length of 'Kalka-Shimla' Railway line?,96 km,102 km,110 km,120 km,A,2019
"H.P. Academy of Arts, Culture and Languages' was established in:",1966,1968,1972,1975,B,2019
Tattapani' hot water springs are on the bank of which river?,Satluj,Beas,Ravi,Chenab,A,2019
Kunzum Pass' connects Spiti with:,Lahaul,Kinnaur,Kullu,Tibet,A,2019
Which of the following is the biggest natural lake in H.P.?,Renuka,Rewalsar,Khajjiar,Dal,A,2019
The first 'Param Vir Chakra' recipient from H.P. was:,Major Somnath Sharma,Capt. Vikram Batra,Rifleman Sanjay Kumar,Capt. Saurabh Kalia,A,2019
In which year did 'Mahatma Gandhi' visit Shimla for the first time?,1919,1921,1923,1925,B,2019
Baba Bhalku Rail Museum' is located at:,Kalka,Shimla,Solan,Dharamsala,B,2019
Which Raja of Mandi gave the 'Shivratri Fair' the form of a cultural festival?,Ajbar Sen,Suraj Sen,Ishwari Sen,Bijai Sen,B,2020
Kyat' is a folk dance of which community?,Kinnauras,Lahaulas,Gaddis,Gujjars,A,2020
Who wrote the book 'Himalayan Art'?,M.S. Randhawa,J.C. French,W.G. Archer,B.N. Goswamy,B,2020
Mulkila' glacier is located in which valley?,Bhaga Valley,Chandra Valley,Pin Valley,Pangi Valley,B,2020
At which place 'HP State Electricity Board Ltd.' was established?,1971,1974,1977,1980,A,2020
Gauri Devi Ka Tibba' peak is located in:,Chamba,Kullu,Kangra,Kinnaur,A,2020
The state game of Himachal Pradesh is:,Hockey,Football,Volleyball,Kabaddi,C,2020
Which Raja of Mandi gave the 'Shivratri Fair' the form of a cultural festival?,Ajbar Sen,Suraj Sen,Ishwari Sen,Bijai Sen,B,2020
Kyat' is a folk dance of which community?,Kinnauras,Lahaulas,Gaddis,Gujjars,A,2020
Who wrote the book 'Himalayan Art'?,M.S. Randhawa,J.C. French,W.G. Archer,B.N. Goswamy,B,2020
Mulkila' glacier is located in which valley?,Bhaga Valley,Chandra Valley,Pin Valley,Pangi Valley,B,2020
At which place 'HP State Electricity Board Ltd.' was established?,1971,1974,1977,1980,A,2020
Gauri Devi Ka Tibba' peak is located in:,Chamba,Kullu,Kangra,Kinnaur,A,2020
The state game of Himachal Pradesh is:,Hockey,Football,Volleyball,Kabaddi,C,2020
Which of the following statements about 'Jal-Jeevan-Mission' is not correct?,"In H.P. it is targeted to include every rural household in June, 2022","Out of 17.28 lakh households, 15.80 lakh were provided FHTC",In Himachal Pradesh 91% of the households have been provided connection,Himachal Pradesh places at 8th position in the country for FHTC,B,2022
Match the following: (i) Total geographical area of H.P. (ii) Total area of operational holding (iii) Area operated by number of farmers (iv) Average holding size,(a) (b) (e) (c),(a) (c) (e) (d),(a) (e) (d) (c),(a) (d) (b) (c),C,2022
Match Plan outlays (2021-22): (i) Agriculture (ii) Energy (iii) Transport (iv) Social services,(c) (a) (d) (e),(d) (b) (c) (a),(d) (e) (b) (a),(e) (c) (d) (a),B,2022
Who was the first President of Himalayan Hill States Regional Council (1946)?,Shivanand Ramaul,Pandit Padam Dev,Swami Purnanand,Shyam Singh Negi,C,2023
Statement I: Ancient Kulindas had a Republican form. Statement II: Rajas of Chamba were of Chandra line.,Both correct,Both incorrect,"I correct, II incorrect","I incorrect, II correct",C,2023
Statement I: Chandra Tal lake is about 6000 m above sea level. Statement II: Suraj Tal is source of Spiti river.,Both correct,Both incorrect,"I correct, II incorrect","I incorrect, II correct",B,2023
Statement I: Bara Lacha Pass connects Manali with Kaza. Statement II: Sonapani is the longest glacier of Pir Panjal near Rohtang.,Both correct,Both incorrect,"I correct, II incorrect","I incorrect, II correct",D,2023
Statement I: Soldiers of Nasiri Battalion started uprising in 1857. Statement II: Koti and Balsan opposed British rulers.,Both correct,Both incorrect,"I correct, II incorrect","I incorrect, II correct",C,2023
Arrange events chronologically: (1) Nalagarh Movement (2) Sirmaur Land Movement (3) Theog Peasant Movement (4) Chamba Farmer Movement,"(2), (1), (4), (3)","(1), (2), (3), (4)","(1), (2), (4), (3)","(2), (1), (3), (4)",C,2023
Which is correct about Mandi conspiracy?,"(1), (2), (3)","(2), (3), (4)","(3), (4), (1)",(4) and (2),A,2023
Which is correct journey to become full state?,"(1), (2), (3)","(3), (4), (1)","(1), (2), (4)","(3), (2), (4)",C,2023
Match: (a) Dujam Movement (b) All India State People Conf. (c) Himalayan Riyasati Praja Mandal (d) Kunihar Praja Mandal,(i) (ii) (iii) (iv),(iii) (iv) (ii) (i),(iv) (ii) (i) (iii),(ii) (iii) (iv) (i),B,2023
Match Reserved Forest Area: (a) Chamba (b) Kullu (c) Sirmaur (d) Kangra,(iii) (ii) (i) (iv),(i) (iv) (ii) (iii),(i) (ii) (iv) (iii),(ii) (i) (iv) (iii),B,2023
Match: (a) Skill Dev Project (b) Kaushal Vikas Nigam (c) Yuva Ajivika (d) Grihini Suvidha,(iii) (i) (ii) (iv),(ii) (i) (iii) (iv),(iv) (i) (ii) (iii),(i) (iii) (ii) (iv),D,2023
Match Sanctuary: (a) Kinnaur (b) Chamba (c) Mandi (d) Lahaul Spiti,(i) (ii) (iii) (iv),(iv) (ii) (ii) (i),(ii) (iv) (i) (iii),(i) (ii) (iv) (iii),D,2023
Dodra-Kwar revolt took place under leadership of:,Shobha Ram,Rana Hardev Singh,Ran Bahadur Singh,None of these,C,2023
Who became H.P. Chief Minister maximum number of times?,Y.S. Parmar,Virbhadra Singh,Shanta Kumar,Thakur Ramlal,B,2023
Shinku-La tunnel pertains to which of the following?,Sikkim,Ladakh,Jammu & Kashmir,Himachal Pradesh,B & D,2023
"In H.P., Grant from Centre is the highest percentage of revenue receipts. (FY 2022-23)",(1) and (3) only,(2) and (3) only,(1) and (2) only,(3) and (4) only,A,2023
Consider ranking in export preparedness and DGGI 2021:,(1) and (3) only,(2) and (3) only,(1) and (2) only,(3) and (4) only,C,2023
"Consider sex ratio, occupation and Human Development Index:",(1) and (4) only,(1) and (3) only,(1) and (2) only,(2) and (4) only,A,2023
Consider rainiest district and Alpine region rainfall:,(2) and (4) only,(3) and (4) only,(1) and (2) only,(1) and (3) only,C,2023
"Statement I: Shinkun La tunnel is at 15,855 feet. Statement II: Atal tunnel length is 6.02 km.",Both correct,Both incorrect,"I correct, II incorrect","I incorrect, II correct",C,2024
Dandra Movement (1930) Pargana that started first:,Ratanpur,Rampur,Bahadurpur,None of these,C,2024
"Who was the founder of ""Balsan Thakuria""?",Moolchand,Kunwar Singh,Harichand,Alak Singh,D,2024
"Statement I: Chamba currency was ""Chakli"". Statement II: Lalit Verman built Chandragupta and Kameshwar temples.",Both correct,Both incorrect,"I correct, II incorrect","I incorrect, II correct",C,2024
