Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
Which district accounts for 25% of the total area of Himachal Pradesh?,Chamba,Lahaul and Spiti,Kinnaur,Kangra,B,Geography
What is the population density of Lahaul and Spiti per square kilometer?,2,5,10,15,A,Geography
"Who is the author of the book ""Lahaul a valley of Glacier""?",Moorcroft,Cunningham,Andrew Wilson,Rahul Sanskrityayan,C,History
"According to local history, who is considered the founder of the area of Lahaul Spiti?",Manu,Harshvardhan,Samudra Sen,Hiun Tsang,A,History
In which year did the Chinese traveler Hiun Tsang visit the area of Lahaul Spiti?,435 AD,535 AD,635 AD,735 AD,C,History
The Trilokinath and Mrikula Devi temples reflect which architectural style?,Pagoda style,Kashmiri style,Pyramidal style,Pent-roof style,B,Art & Culture
"According to William Moorcroft in 1820, what was the capital of Lahaul Spiti?",Keylong,Kaza,Udaipur,Tandi,D,History
Who built the Gondla Fort in Lahaul Spiti?,Bidhi Singh,Man Singh,Bahadur Shah,Zorawar Singh,B,History
Who was appointed by the British as the first Negi of Lahaul Spiti in 1846?,Amir Chand,Bali Ram,No-No Wazir,Samudra Sen,B,Administration
In which year was Lahaul and Spiti established as a district of Punjab before merging with HP?,1941,1950,1960,1966,C,Administration
"What does the marriage term ""Ta-bhagston"" refer to in tribal society?",Love marriage,Arranged marriage,Divorce,Widow remarriage,B,Social Customs
Which term refers to the custom of a divorced man marrying another woman?,Kummai-bhagston,Ta-bhagston,Kowanchi-biah,Halda,C,Social Customs
In which month is the Gochi Festival traditionally celebrated in Keylong?,February,July,October,December,A,Festivals
Which festival is celebrated as the regional equivalent of Diwali in the Chandrabhaga area?,Ladarcha,Gochi,Pauri,Halda,D,Festivals
"Which monastery is widely known as the ""Ajanta of the Himalayas""?",Key Monastery,Guru Ghantal,Tabo Monastery,Dhankhar Monastery,C,Religious Sites
Which is considered the oldest monastery specifically in the Lahaul area?,Shashur,Guru Ghantal,Gemur,Khardang,B,Religious Sites
"Which traditional dance is also known as the ""Evil King Dance""?",Shabu Dance,Shand Dance,Lang-dar-ma Dance,Shunto Dance,C,Art & Culture
In which year did Lahauli Socks and Gloves earn a Geographical Indication (GI) tag?,2018,2019,2020,2021,D,Economy
"Which valley in the district is famously referred to as the ""Land of Jewels""?",Lahaul Valley,Spiti Valley,Pin Valley,Lingti Valley,B,Geography
The Moravian Mission of 1853 is credited with introducing which crop to the region?,Apple,Potato,Wheat,Barley,B,Economy
Who is considered the ancient founder of the Trigarta kingdom?,Susharma Chand,Bhoomi Chand,Ghamand Chand,Sansar Chand,B,Ancient History
Which ruler is credited with building the historic Kangra Fort around 1500 BC?,Bhoomi Chand,Jagdish Chand,Susharma Chand,Prthvi Chand,C,Ancient History
"During the 7th invasion of Mahmud Ghazni in 1009 AD, who was the ruler of Kangra?",Jagdish Chand,Roop Chand,Megh Chand,Dharam Chand,A,Medieval History
"Which Katoch ruler was given the title ""Nagarkotia"" by Mughal Emperor Akbar?",Bidhi Chand,Jai Chand,Dharam Chand,Manak Chand,C,Medieval History
In which year did the Battle of Mahalmorriyan take place between Sansar Chand and the Gurkhas?,1809,1805,1786,1823,B,History
The Treaty of Jawalamukhi in 1809 was signed between Maharaja Sansar Chand and which other leader?,Amar Singh Thapa,Maharaja Ranjit Singh,Jassa Singh Ramgarhiya,Jai Singh Kanhaiya,B,History
Who was appointed as the first Sikh Nizam (Governor) of Kangra in 1809?,Desa Singh Majithiya,Nawab Ali Khan,Hussain Kuli Khan,Jassa Singh Ramgarhiya,A,History
Which state was founded by Hari Chand in 1405 AD?,Jaswan,Guler,Siba,Datarpur,B,History
"Who was the first ruler of Guler to adopt the title ""Singh"" and was called ""Sher Afghan"" by Shah Jahan?",Govardhan Chand,Maan Chand,Roop Chand,Dalip Singh,B,History
"Which temple in Kangra is popularly known as the ""Ellora of Himachal""?",Baijnath Temple,Masrur Rock Cut Temple,Chamunda Devi Temple,Bajreshwari Temple,B,Culture/Art
The Masrur Rock Cut Temple was built in the 8th Century under which King of Kashmir?,Ashoka,Lalitaditya,Harsha,Kanishka,B,Culture/Art
Who is recognized as the first patron of the Kangra School of Painting?,Sansar Chand,Govardhan Chand,Ghamand Chand,Anirudh Chand,B,Art
Which master artist of the Kangra Kalam is specifically noted for his realism and intimacy in portraiture?,Manaku,Nainsukh,Shobha Singh,Nicholas Roerich,B,Art
"Which author wrote the authoritative work ""The Kangra Paintings""?",M.S. Randhawa,W.G. Archer,Thomas Coryat,Moorcroft,B,Art/Literature
