Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section 
"Of which rivers tributaries are Phojal, Sarwati and Hansa streams?",Satluj,Beas,Ravi,Yamuna,B,2016
What is the archaeological style of Adi Brahama temple Khokhan?,Pagoda,Pent-roof,Pyramid-roof,Pyramid,A,2016
With which region of H.P. is Bonangchyu dance associated?,Chamba,Sirmour,Kinnaur,Kangra,C,2016
Who was the court poet of Raja Dharam Chand of Kangra who wrote Dharam Chand?,Ganesh Singh,Kanhyaya Lal Sharma,Manik Chand,Padam Chand Guleri,C,2016
"To which princely state did Zorawar Singh, General of Raja Gulab Singh who invaded Ladakh and Baltistan during 1834-41, belong?",Kangra,Sirmaur,Jubbal,Kehlur,D,2016
When did the Chandrahabhaga Valley which was held as Jagir by the families of Tibetan origin come under sway of Kullu?,Thirteenth century,Fifteenth century,Seventeenth century,Eighteenth century,C,2016
The territory of which of the following princely states was divided between two cousins/scions Vijay Singh and Ram Singh during the nineteenth century?,Daturpur,Siba,Guler,Jaswan,B,2016
Around which year did Captain R.C. Lee set up an apple orchard in Kullu area?,1870 AD,1895 AD,1905 AD,1910 AD,A,2016
Which Raja of Bushahr princely state received Hang-Rang valley from Tibet as Jagir?,Prem Singh,Karam Singh,Bhup Singh,Kehri Singh,D,2016
Around which year did Russian painter Nicholas Roerich visit Naggar in Kullu District for the first time?,1915,1923,1926,1930,B,2016
Which Raja of Banghal princely state was treacherously killed by Raja Siddha Sen of Mandi?,Raghunath Pal,Dalel Pal,Prithi Pal,Man Pal,C,2016
Which school did Amrita Shergil join in Shimla around 1924-25?,Tara Hall,Alfred Corpet,Santa Annciate,Jesus and Mary,D,2016
Which Raja of Sirmaur princely state shifted the capital of his state from Rajban to Kalsi in the beginning of the thirteen century?,Udit Prakesh,Kaul Prakash,Maha Prakash,Sumer Prakash,A,2016
At which place in Kullu District of Himachal Pradesh is fish farm?,Patli Kuhl,Moheli,Nagini,All of the Above,D,2016
Who founded Himachal Pradesh congress (HVC)?,Maheshwar Singh,Thakur Ram Lal,Dr. Salig Ram,Pandit Sukh Ram,D,2016
"Which two districts of H.P. are covered under Backward Region Grant Fund of Ministry of Panchayati Raj, Government of India?",Kinnaur and Lahul Spiti,Lahul-Spiti and Chamba,Chamba and Sirmour,Sirmour and Kinnaur,C,2016
Which bank is collaborating with the Himachal Pradesh government in implementing Doodh Ganga Yojna?,UCO Bank,State Bank of India,NABARD,H.P. state Cooperative Bank,C,2016
Which agency is managing Himachal Pradesh State Wide Area Networks (HIMSWAN) services?,M/s KPMG,M/s Orange Business Services,M/s E&Y HPSDC,M/s Vyam Technologies,B,2016
In which basin is Upper Joiner hydro-power project?,Ravi,Satluj,Beas,Yamuna,A,2016
According to 2011 census which district of H.P. has the highest number of urban households?,Kangra,Shimla,Mandi,Solan,B,2016
Which Raja of Chamba transferred the capital of his state from Bharmaur to Chamba?,Maru Varman,Aditya Varman,Sahil Varman,Soma Varman,C,2017
"During the reign of which raja of Nurpur princely state the forts of Maukot, Nurpur and Taragarh were captured by the Mughals?",Jagat Singh,Rajrup Singh,Bir Singh,Jaswant Singh,A,2017
Who was the first European to draw attention to the history of royal families of Jalandhar and Trigarta?,Moorcraft,Cunningham,Thevenot,Thomas Coryat,B,2017
