Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
Which of the following function is used to display Today's date in MS Excel?,TODAY(),DATE(),NOW(),CURRENT_DATE(),A,JOA IT
Which of the following is not a programming language of a computer?,Basic,Laser,Pascal,Cobol,B,JOA IT
COBOL is widely used in ______ applications.,Commercial,Scientific,Educational,Gaming,A,JOA IT
Each digit in Binary Coded Decimal is represented by four bits which is known as,Bit,Byte,Nibble,Word,C,JOA IT
Which technology is used in Compact Disc?,Electrical,Mechanical,Electromagnetic,Laser,D,JOA IT
How can you resize an object in PowerPoint while presenting its original properties aspect ratio?,"Right-click the object and select ""Send to Back""",Hold down the Shift key while dragging a corner handle,"Open the ""Format"" tab and click on ""Crop""",Drag a side handle of the object without using any key,B,JOA IT
Which component is commonly referred to as the brain of the computer?,CPU,Monitor,Keyboard,Mouse,A,JOA IT
RAM is used as a short memory because it is _____.,Volatile,Non-Volatile,Permanent,Fixed,A,JOA IT
Which component of OS interacts directly with the hardware?,Shell,Compiler,Kernel,Interpreter,C,JOA IT
Which historical figure is widely recognized as the inventor of the first mechanical computer?,Alan Turing,Charles Babbage,Ada Lovelace,John von Neumann,B,JOA IT
Which of the following is not an operating system?,Microsoft Windows,Linux,Android,Oracle,D,JOA IT
Which of the following is a web browser?,HP,Internet Explorer,Microsoft Excel,Google,B,JOA IT
Which of the following is not an input device?,Mouse,Keyboard,Barcode Reader,Monitor,D,JOA IT
The first key on the left-hand side of the first row of keyboard is?,Esc,Tab,Caps Lock,Shift,A,JOA IT
There are ______ reserved words in C.,24,30,32,48,C,JOA IT
Which option in Windows helps you locate a file or folder by typing a keyword or part of its name?,Folder,Recycle Bin,Search,Control Panel,C,JOA IT
Which of the following is not an example of application software?,MS Word,Windows Operating System,VLC Media Player,Google Chrome,B,JOA IT
Which of the following is not an arithmetic operator in C?,#ERROR!,-,%,#,D,JOA IT
Any system in C language that starts with the character # is called ______.,Preprocessor Statement,Comment,Variable Declaration,Function Definition,A,JOA IT
Linux is ______ and Linux is an ______ operating.,Open-source,Closed-source,Proprietary,Freeware,A,JOA IT
Which is the exact opposite of space key?,Enter,Shift,Delete,Backspace,D,JOA IT
Father of Email is ______.,Bill Gates,Steve Jobs,Ray Tomlinson,Mark Zuckerberg,C,JOA IT
The invention related to Jack Kilby is ______.,Mouse,Integrated Circuit,WWW,USB,A,JOA IT
Which device is used to display graphics and information on video screen?,Printer,Keyboard,Mouse,Monitor,D,JOA IT
What is the keyboard shortcut to perform paste operation in MS Word?,Alt + P,Ctrl + V,Ctrl + T,Ctrl + P,B,JOA IT
Device such as monitors and printers that connected to a computer are called?,None of these,System Device,Input Device,Peripheral Devices,D,JOA IT
An IP version 4 address is how many bits/bytes long?,32 Bits,32 Bytes,64 Bits,16 Bytes,A,JOA IT
"In a computer, which unit is responsible for processing data and is called the electronic brain of the computer?",Hard Disk,RAM,CPU,Keyboard,C,JOA IT
